appid,age_year,max_discount,mean_discount,n_observations,median_sale_price,title,initial_price,primary_genre,developer_tier,price_tier,review_score,log_ownership,is_multiplayer,has_controller_support,achievements_total,buyer_value_at_age
10,10,90,41.71232876712329,73,4.99,Counter-Strike,9.99,Action,AAA,Mid,0.9741554914276014,7.176091288008646,1,0,0,0.4994994994994995
20,10,90,37.95192307692308,104,4.365,Team Fortress Classic,4.99,Action,AAA,Budget,0.8711198859273884,6.176091548585239,1,0,0,0.874749498997996
30,9,75,62.5,4,3.115,Day of Defeat,4.99,Action,AAA,Budget,0.9021084337349398,6.875061321297627,1,0,0,0.624248496993988
30,10,90,38.5,100,3.865,Day of Defeat,4.99,Action,AAA,Budget,0.9021084337349398,6.875061321297627,1,0,0,0.7745490981963928
40,10,90,39.088235294117645,102,3.74,Deathmatch Classic,4.99,Action,AAA,Budget,0.8320610687022901,6.875061321297627,1,0,0,0.749498997995992
50,10,90,39.018181818181816,110,3.74,Half-Life: Opposing Force,4.99,Action,Mid-tier,Budget,0.9534078331964726,6.5440681684343955,1,0,0,0.749498997995992
60,10,90,39.20192307692308,104,3.74,Ricochet,4.99,Action,AAA,Budget,0.830890642615558,5.54406928518988,1,0,0,0.749498997995992
70,10,100,41.52892561983471,121,4.99,Half-Life,9.99,Action,AAA,Mid,0.9650719107719401,7.176091288008646,1,1,0,0.4994994994994995
80,8,75,62.5,4,4.365,Counter-Strike: Condition Zero,9.99,Action,AAA,Mid,0.9143850344036697,6.875061321297627,1,0,0,0.43693693693693697
80,9,75,41.25,20,4.99,Counter-Strike: Condition Zero,9.99,Action,AAA,Mid,0.9143850344036697,6.875061321297627,1,0,0,0.4994994994994995
80,10,90,39.75961538461539,104,6.24,Counter-Strike: Condition Zero,9.99,Action,AAA,Mid,0.9143850344036697,6.875061321297627,1,0,0,0.6246246246246246
100,10,90,40.90909090909091,11,9.99,Counter-Strike: Condition Zero,9.99,Action,AAA,Mid,0.9165067178502879,7.176091288008646,1,0,0,1.0
130,10,90,40.779661016949156,118,2.49,Half-Life: Blue Shift,4.99,Action,Mid-tier,Budget,0.9259493670886076,6.176091548585239,0,0,0,0.49899799599198397
220,8,75,41.666666666666664,6,4.99,Half-Life 2,9.99,Action,AAA,Mid,0.9761543336330007,7.176091288008646,0,1,69,0.4994994994994995
220,9,75,37.5,16,4.99,Half-Life 2,9.99,Action,AAA,Mid,0.9761543336330007,7.176091288008646,0,1,69,0.4994994994994995
220,10,90,41.08910891089109,101,4.99,Half-Life 2,9.99,Action,AAA,Mid,0.9761543336330007,7.176091288008646,0,1,69,0.4994994994994995
240,8,75,57.5,10,8.115,Counter-Strike: Source,9.99,Action,AAA,Mid,0.9628461562640794,7.176091288008646,1,0,147,0.8123123123123123
240,9,75,41.0,25,9.99,Counter-Strike: Source,9.99,Action,AAA,Mid,0.9628461562640794,7.176091288008646,1,0,147,1.0
240,10,90,38.54347826086956,92,9.99,Counter-Strike: Source,9.99,Action,AAA,Mid,0.9628461562640794,7.176091288008646,1,0,147,1.0
280,8,50,50.0,1,4.99,Half-Life: Source,9.99,Action,AAA,Mid,0.6867040859436296,6.5440681684343955,0,0,0,0.4994994994994995
280,9,75,36.666666666666664,15,4.99,Half-Life: Source,9.99,Action,AAA,Mid,0.6867040859436296,6.5440681684343955,0,0,0,0.4994994994994995
280,10,90,40.54347826086956,46,4.99,Half-Life: Source,9.99,Action,AAA,Mid,0.6867040859436296,6.5440681684343955,0,0,0,0.4994994994994995
300,2,50,50.0,1,4.99,Day of Defeat: Source,9.99,Action,AAA,Mid,0.91744295359371,6.5440681684343955,1,0,54,0.4994994994994995
300,3,50,22.22222222222222,9,9.99,Day of Defeat: Source,9.99,Action,AAA,Mid,0.91744295359371,6.5440681684343955,1,0,54,1.0
300,4,75,29.166666666666668,6,7.49,Day of Defeat: Source,9.99,Action,AAA,Mid,0.91744295359371,6.5440681684343955,1,0,54,0.7497497497497497
300,5,75,37.5,8,6.24,Day of Defeat: Source,9.99,Action,AAA,Mid,0.91744295359371,6.5440681684343955,1,0,54,0.6246246246246246
300,6,80,40.0,6,5.99,Day of Defeat: Source,9.99,Action,AAA,Mid,0.91744295359371,6.5440681684343955,1,0,54,0.5995995995995996
300,7,90,45.0,8,5.49,Day of Defeat: Source,9.99,Action,AAA,Mid,0.91744295359371,6.5440681684343955,1,0,54,0.5495495495495496
300,8,90,41.25,8,5.99,Day of Defeat: Source,9.99,Action,AAA,Mid,0.91744295359371,6.5440681684343955,1,0,54,0.5995995995995996
